Name,Type,Forward_MACs,FPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/backbone/stages.3/op_list.1/local_module/main/depth_conv/act/Relu,Relu,165888,0.00%,1327104,0.13%,0,0.00%,1x2048x9x9,1x2048x9x9
/backbone/stages.3/op_list.1/local_module/main/point_conv/conv/Conv,Conv,84976128,1.29%,4528128,0.44%,1049088,2.16%,1x2048x9x9,1x512x9x9
/backbone/stages.3/op_list.1/local_module/Add,Add,41472,0.00%,331776,0.03%,0,0.00%,1x512x9x9,1x512x9x9
/backbone/stages.3/op_list.2/context_module/main/qkv/conv/Conv,Conv,63700992,0.96%,4141056,0.40%,786432,1.62%,1x512x9x9,1x1536x9x9
/backbone/stages.3/op_list.2/context_module/main/aggreg.0/aggreg.0.0/Conv,Conv,3110400,0.05%,1148928,0.11%,38400,0.08%,1x1536x9x9,1x1536x9x9
/backbone/stages.3/op_list.2/context_module/main/aggreg.0/aggreg.0.1/Conv,Conv,3981312,0.06%,1191936,0.11%,49152,0.10%,1x1536x9x9,1x1536x9x9
/backbone/stages.3/op_list.2/context_module/main/Concat,Concat,0,0.00%,1990656,0.19%,0,0.00%,1x1536x9x9,1x3072x9x9
/backbone/stages.3/op_list.2/context_module/main/Shape,Shape,0,0.00%,32,0.00%,0,0.00%,1x3072x9x9,4
/backbone/stages.3/op_list.2/context_module/main/Gather,Gather,0,0.00%,0,0.00%,0,0.00%,4,0
/backbone/stages.3/op_list.2/context_module/main/Unsqueeze,Unsqueeze,0,0.00%,8,0.00%,0,0.00%,0,1
/backbone/stages.3/op_list.2/context_module/main/Concat_1,Concat,0,0.00%,32,0.00%,0,0.00%,1,4
/backbone/stages.3/op_list.2/context_module/main/Reshape,Reshape,0,0.00%,1990656,0.19%,0,0.00%,1x3072x9x9,1x32x96x81
/backbone/stages.3/op_list.2/context_module/main/Slice,Slice,0,0.00%,663552,0.06%,0,0.00%,1x32x96x81,1x32x32x81
/backbone/stages.3/op_list.2/context_module/main/Slice_1,Slice,0,0.00%,663552,0.06%,0,0.00%,1x32x96x81,1x32x32x81
/backbone/stages.3/op_list.2/context_module/main/Slice_2,Slice,0,0.00%,663552,0.06%,0,0.00%,1x32x96x81,1x32x32x81
/backbone/stages.3/op_list.2/context_module/main/kernel_func/Relu,Relu,82944,0.00%,663552,0.06%,0,0.00%,1x32x32x81,1x32x32x81
/backbone/stages.3/op_list.2/context_module/main/kernel_func_1/Relu,Relu,82944,0.00%,663552,0.06%,0,0.00%,1x32x32x81,1x32x32x81
/backbone/stages.3/op_list.2/context_module/main/Transpose,Transpose,0,0.00%,663552,0.06%,0,0.00%,1x32x32x81,1x32x81x32
/backbone/stages.3/op_list.2/context_module/main/Pad,Pad,0,0.00%,684288,0.07%,0,0.00%,1x32x32x81,1x32x33x81
/backbone/stages.3/op_list.2/context_module/main/MatMul,MatMul,2737152,0.04%,270336,0.03%,0,0.00%,1x32x33x81,1x32x33x32
/backbone/stages.3/op_list.2/context_module/main/MatMul_1,MatMul,2737152,0.04%,684288,0.07%,0,0.00%,1x32x33x32,1x32x33x81
/backbone/stages.3/op_list.2/context_module/main/Slice_4,Slice,0,0.00%,663552,0.06%,0,0.00%,1x32x33x81,1x32x32x81
/backbone/stages.3/op_list.2/context_module/main/Slice_5,Slice,0,0.00%,20736,0.00%,0,0.00%,1x32x33x81,1x32x1x81
/backbone/stages.3/op_list.2/context_module/main/Add,Add,2592,0.00%,20736,0.00%,0,0.00%,1x32x1x81,1x32x1x81
/backbone/stages.3/op_list.2/context_module/main/Div,Div,331776,0.01%,663552,0.06%,0,0.00%,1x32x32x81,1x32x32x81
/backbone/stages.3/op_list.2/context_module/main/Concat_3,Concat,0,0.00%,32,0.00%,0,0.00%,1,4
/backbone/stages.3/op_list.2/context_module/main/Reshape_3,Reshape,0,0.00%,663552,0.06%,0,0.00%,1x32x32x81,1x1024x9x9
/backbone/stages.3/op_list.2/context_module/main/proj/conv/Conv,Conv,42508800,0.64%,2430976,0.23%,524800,1.08%,1x1024x9x9,1x512x9x9
/backbone/stages.3/op_list.2/context_module/Add,Add,41472,0.00%,331776,0.03%,0,0.00%,1x512x9x9,1x512x9x9
